# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	8799
#@/user_id	winK
bie shuo 	別說	c=1 d=1 t=5301
bing 	並	c=7 d=2.46942 t=6974
bing 	冰	c=1 d=1 t=4162
bing tang 	冰糖	c=1 d=1 t=4774
bing xiang 	冰箱	c=2 d=1.83527 t=8616
bo 	波	c=6 d=1.01778 t=6464
bo fang 	播放	c=3 d=1 t=5969
bo fang qi 	播放器	c=1 d=1 t=1237
bo hao 	撥號	c=4 d=3.33479 t=3936
bo qing ge 	柏青哥	c=2 d=1.96561 t=4383
bo xue 	剝削	c=1 d=1 t=4065
bu 	不	c=27 d=1.47563 t=8391
bu ai 	不愛	c=1 d=1 t=4171
bu bian 	不變	c=1 d=1 t=5026
bu chi 	不遲	c=1 d=1 t=5670
bu chong 	補充	c=1 d=1 t=7966
bu chu 	不出	c=1 d=1 t=8064
bu chuan 	不穿	c=1 d=1 t=6275
bu cuo 	不錯	c=5 d=1.43387 t=8375
bu dai 	不帶	c=1 d=1 t=7260
bu dai biao 	不代表	c=1 d=1 t=392
bu dao 	不到	c=2 d=1 t=8560
bu ding 	補丁	c=1 d=1 t=5458
bu dong 	不懂	c=1 d=1 t=3656
bu du 	不讀	c=1 d=1 t=3673
bu duan 	不斷	c=1 d=1 t=7409
bu dui 	不對	c=7 d=1.01716 t=7563
bu duo 	不多	c=1 d=1 t=3528
bu er qiao ya 	布爾喬亞	c=1 d=1 t=4017
bu fen 	部分	c=6 d=2.65416 t=8290
bu gan 	不幹	c=1 d=1 t=2682
bu gan 	不敢	c=2 d=1.00075 t=3679
bu gao 	不高	c=1 d=1 t=5523
bu gei 	補給	c=0 d=0.1 t=4749
bu gei ni 	補給你	c=1 d=1 t=4750
bu gou 	不夠	c=1 d=1 t=4296
bu guan 	不管	c=1 d=1 t=4334
bu guo 	不過	c=9 d=1.06776 t=8414
bu hao shuo 	不好說	c=4 d=1.00001 t=5357
bu hao yi si 	不好意思	c=1 d=1 t=3469
bu hui 	不會	c=8 d=1.00413 t=8452
bu jia 	不加	c=1 d=1 t=7156
bu jiu 	不就	c=2 d=1 t=5263
bu jiu shi 	不就是	c=3 d=1.00006 t=8642
bu ju 	佈局	c=1 d=1 t=8329
bu kan 	不看	c=0 d=0.1 t=6846
bu kan lu 	不看路	c=1 d=1 t=6847
bu ke si yi 	不可思議	c=1 d=1 t=4411
bu lai 	不來	c=1 d=1 t=7731
bu liao 	不了	c=1 d=1 t=7836
bu men 	部門	c=1 d=1 t=8543
bu nen 	不嫩	c=1 d=1 t=7559
bu neng 	不能	c=5 d=1 t=6745
bu nu li 	不努力	c=1 d=1 t=4933
bu pian yi 	不便宜	c=1 d=1 t=789
bu qi 	不起	c=1 d=1 t=51
bu qing chu 	不清楚	c=1 d=1 t=2941
bu que ding 	不確定	c=1 d=1 t=3187
bu ran 	不然	c=3 d=1 t=7755
bu ru 	不如	c=7 d=2.1914 t=7936
bu ru shuo 	不如說	c=2 d=1.00013 t=3285
bu shang 	不上	c=4 d=1 t=3843
bu shang ban 	不上班	c=1 d=1 t=7721
bu shao 	不少	c=2 d=1.20495 t=353
bu shi 	不是	c=18 d=1.12999 t=8506
bu shu 	部署	c=1 d=1 t=2132
bu shua 	不刷	c=1 d=1 t=1835
bu shuang 	不爽	c=1 d=1 t=603
bu shui 	不睡	c=1 d=1 t=41
bu shuo 	不說	c=4 d=1.64931 t=8668
bu suo wei 	不所謂	c=1 d=1 t=1432
bu tai 	不太	c=1 d=1 t=7439
bu tai xiang 	不太想	c=1 d=1 t=4929
bu tong 	不同	c=1 d=1 t=9
bu wan 	不玩	c=1 d=1 t=7284
bu xi ban 	補習班	c=1 d=1 t=1808
bu xi huan 	不喜歡	c=1 d=1 t=4053
bu xian 	不嫌	c=1 d=1 t=1138
bu xiang 	不想	c=3 d=0.741585 t=5747
bu xiang kan 	不想看	c=1 d=1 t=5748
bu xiang xin 	不相信	c=1 d=1 t=4862
bu xing 	不行	c=4 d=1.00574 t=5268
bu yao 	不要	c=8 d=2.64663 t=8177
bu yi ding 	不一定	c=1 d=1 t=5133
bu yi yang 	不一樣	c=1 d=1 t=1648
bu ying gai 	不應該	c=1 d=1 t=4516
bu yong 	不用	c=9 d=1.00601 t=7220
bu zhao 	不找	c=1 d=1 t=7465
bu zhi 	不止	c=1 d=1 t=1339
bu zhi dao 	不知道	c=18 d=1.99372 t=6142
bu zhi de 	不值得	c=2 d=1.9802 t=5871
bu zhi shi 	不只是	c=1 d=1 t=1069
bu zhuang 	不裝	c=1 d=1 t=3260
cai 	才	c=12 d=1.02286 t=8601
cai 	猜	c=2 d=1 t=8406
cai 	菜	c=4 d=2.3896 t=6935
cai dan 	菜單	c=2 d=1.84789 t=1672
cai dao 	菜刀	c=1 d=1 t=6504
cai fa xian 	才發現	c=0 d=0.1 t=3018
cai ling 	彩鈴	c=1 d=1 t=8324
cai neng 	才能	c=2 d=1 t=7735
cai shi 	纔是	c=2 d=1.55433 t=7565
cai xiang 	猜想	c=1 d=1 t=3098
cai xing 	才行	c=1 d=1 t=3293
cai you 	纔有	c=1 d=1 t=3281
